case;pos;reduction;duration;ambition;DC;EFF;CR;COM;PRG
AUT1; -0.9;2;47;0.042553191;54;1.89;50;5.13;0
AUT2;1.4;0.6;58;0.010344828;54;1.89;50;5.14;0
BEL;0.1;0.4;10;0.04;63;1.59;54.54;5.2;0
CZE;-2.4;3.5;56;0.0625;50;1.1;45.45;4.52;0
DEU;-1.8;4.5;54;0.083333333;60;1.55;100;5.37;0
DNK;0.7;1.6;43;0.037209302;42;2.29;100;5.46;0
ESP;-0.9;3.3;19;0.173684211;58;0.98;0;4.59;0
FIN;0.3;1.4;57;0.024561404;45;2.24;100;5.47;0
FRA;-0.3;1.4;16;0.0875;42;1.44;88.41;5.13;0
GBR;-3.7;10.5;54;0.194444444;49;1.56;100;5.19;0
GRC1;0.5;10.6;55;0.192727273;31;0.52;73.73;4.4;1
GRC2;0.2;4.4;54;0.081481481;31;0.52;73.73;3.99;1
GRC3;1.4;3.9;46;0.084782609;31;0.52;36.84;3.92;1
IRL;-1.8;28.9;48;0.602083333;41;1.31;86.28;4.74;1
ITA1;-0.5;2.1;26;0.080769231;50.6;0.52;100;4.37;0
ITA2;-1.5;4.3;28;0.153571429;50.6;0.52;100;4.37;0
ITA3;-1.5;4;24;0.166666667;50.6;0.52;100;4.43;0
PRT1;-1;2.7;13;0.207692308;42;1.4;0;4.38;0
PRT2;0;2.6;31;0.083870968;42;1.4;66.67;4.4;1
SVK;0.1;1.2;19;0.063157895;36;0.88;0;4.19;0
